Player 1,Player 2,Player 3,Player 4,,,,
17,11,20,26,3,4,2,1
16,22,15,23,3,2,4,1
17,15,14,32,2,3,4,1
16,16,7,17,2,2,4,1
19,7,13,31,2,4,3,1
6,13,21,27,4,3,2,1
9,7,13,31,3,4,2,1
7,17,17,31,4,2,2,1
18,2,9,29,2,4,3,1
13,8,13,26,2,4,2,1
24,13,15,32,2,4,3,1
13,15,12,17,3,2,4,1
18,19,20,28,4,3,2,1
10,10,9,11,2,2,4,1
12,16,27,21,4,3,1,2
21,17,21,26,2,4,2,1
16,18,20,27,4,3,2,1
11,11,11,11,1,1,1,1
14,10,19,30,3,4,2,1
14,14,17,22,3,3,2,1
11,19,8,27,3,2,4,1
16,22,20,23,4,2,3,1
9,17,6,26,3,2,4,1
16,11,14,25,2,4,3,1
15,12,15,17,2,4,2,1
14,12,1,21,2,3,4,1
10,13,15,28,4,3,2,1
27,17,25,27,1,4,3,1
16,13,18,30,3,4,2,1
19,24,25,32,4,3,2,1
10,8,10,32,2,4,2,1
14,1,17,31,3,4,2,1
14,19,14,19,3,1,3,1
11,15,21,26,4,3,2,1
8,10,10,10,4,1,1,1
16,14,22,20,3,4,1,2
21,23,17,28,3,2,4,1
24,19,21,24,1,4,3,1
19,11,17,22,2,4,3,1
23,8,6,31,2,3,4,1
15,16,18,19,4,3,2,1
13,15,16,23,4,3,2,1
16,20,13,27,3,2,4,1
15,15,19,32,3,3,2,1
10,12,11,17,4,2,3,1
12,8,15,20,3,4,2,1
18,15,21,22,3,4,2,1
15,18,12,15,2,1,4,2
29,12,15,31,2,4,3,1
20,17,22,25,3,4,2,1
17,15,11,18,2,3,4,1
19,15,19,16,1,4,1,3
25,15,19,27,2,4,3,1
16,16,10,19,2,2,4,1
25,9,15,28,2,4,3,1
18,13,13,18,1,3,3,1
22,19,20,26,2,4,3,1
18,17,13,24,2,3,4,1
12,8,12,29,2,4,2,1
14,13,12,29,2,3,4,1
15,22,19,19,4,1,2,2
15,7,17,31,3,4,2,1
18,9,13,20,2,4,3,1
13,21,18,21,4,1,3,1
13,12,8,17,2,3,4,1
10,12,14,12,4,2,1,2
16,16,11,31,2,2,4,1
12,16,21,32,4,3,2,1
16,20,10,32,3,2,4,1
23,16,14,27,2,3,4,1
15,9,13,17,2,4,3,1
13,11,13,29,2,4,2,1
12,15,20,24,4,3,2,1
14,15,14,17,3,2,3,1
11,13,12,15,4,2,3,1
15,15,16,20,3,3,2,1
15,16,13,31,3,2,4,1
18,13,17,23,2,4,3,1
18,22,7,23,3,2,4,1
16,21,13,31,3,2,4,1
13,12,14,19,3,4,2,1
20,17,20,32,2,4,2,1
9,20,17,32,4,2,3,1
18,20,16,21,3,2,4,1
19,14,17,22,2,4,3,1
14,15,10,26,3,2,4,1
11,15,13,27,4,2,3,1
14,23,12,32,3,2,4,1
21,9,11,21,1,4,3,1
8,15,16,26,4,3,2,1
12,21,22,27,4,3,2,1
13,9,12,13,1,4,3,1
6,7,13,32,4,3,2,1
18,10,12,28,2,4,3,1
7,8,18,30,4,3,2,1
19,18,13,15,1,2,4,3
9,13,16,27,4,3,2,1
19,16,11,25,2,3,4,1
25,18,14,32,2,3,4,1
19,18,17,17,1,2,3,3
15.45,14.36,14.98,24.38,2.72,2.98,2.8,1.11
