Player 1,Player 2,Player 3,Player 4,,,,
27,13,21,14,1,4,2,3
13,11,29,27,3,4,1,2
18,14,19,15,2,4,1,3
18,16,28,17,2,4,1,3
16,11,23,25,3,4,2,1
17,11,21,16,2,4,1,3
14,16,15,15,4,1,2,2
14,23,17,14,3,1,2,3
12,15,22,21,4,3,1,2
10,11,32,9,3,2,1,4
11,16,25,11,3,2,1,3
16,15,22,11,2,3,1,4
21,16,22,10,2,3,1,4
12,23,28,18,4,2,1,3
17,12,22,18,3,4,1,2
17,22,28,10,3,2,1,4
10,14,23,11,4,2,1,3
22,12,28,7,2,3,1,4
13,20,17,9,3,1,2,4
16,8,17,14,2,4,1,3
17,15,28,12,2,3,1,4
10,16,24,16,4,2,1,2
10,16,21,14,4,2,1,3
18,14,26,7,2,3,1,4
20,11,32,11,2,3,1,3
18,21,31,8,3,2,1,4
19,18,24,17,2,3,1,4
20,10,30,9,2,3,1,4
14,11,29,20,3,4,1,2
23,19,32,12,2,3,1,4
18,21,24,11,3,2,1,4
22,15,23,8,2,3,1,4
11,10,32,21,3,4,1,2
17,11,27,11,2,3,1,3
11,16,29,11,3,2,1,3
11,11,20,11,2,2,1,2
15,19,18,14,3,1,2,4
18,20,17,16,2,1,3,4
18,10,25,14,2,4,1,3
17,10,18,14,2,4,1,3
14,15,22,12,3,2,1,4
14,14,18,14,2,2,1,2
17,15,23,12,2,3,1,4
16,17,21,20,4,3,1,2
13,24,21,7,3,1,2,4
16,16,27,17,3,3,1,2
13,16,17,13,3,2,1,3
17,24,30,13,3,2,1,4
18,17,19,15,2,3,1,4
12,23,24,16,4,2,1,3
12,7,22,18,3,4,1,2
19,16,23,17,2,4,1,3
18,30,29,17,3,1,2,4
10,10,32,23,3,3,1,2
10,20,30,21,4,3,1,2
21,10,21,10,1,3,1,3
18,17,25,14,2,3,1,4
16,17,28,15,3,2,1,4
16,17,19,12,3,2,1,4
11,7,13,10,2,4,1,3
6,14,19,13,4,2,1,3
11,18,12,9,3,1,2,4
15,11,32,13,2,4,1,3
18,9,19,8,2,3,1,4
20,17,21,11,2,3,1,4
12,15,24,10,3,2,1,4
13,31,31,11,3,1,1,4
22,17,28,7,2,3,1,4
12,14,23,18,4,3,1,2
17,16,22,18,3,4,1,2
12,12,13,11,2,2,1,4
12,16,22,19,4,3,1,2
11,10,10,9,1,2,2,4
18,11,23,18,2,4,1,2
19,8,19,21,2,4,2,1
17,11,32,24,3,4,1,2
14,17,28,21,4,3,1,2
21,11,28,8,2,3,1,4
12,12,18,10,2,2,1,4
18,7,31,8,2,4,1,3
19,13,26,18,2,4,1,3
21,26,24,15,3,1,2,4
15,18,25,21,4,3,1,2
18,19,26,13,3,2,1,4
17,16,24,19,3,4,1,2
17,18,27,27,4,3,1,1
10,15,31,18,4,3,1,2
16,20,23,20,4,2,1,2
16,17,21,19,4,3,1,2
13,16,19,13,3,2,1,3
13,15,32,14,4,2,1,3
9,16,17,21,4,3,2,1
12,21,32,20,4,2,1,3
14,20,29,11,3,2,1,4
15,17,28,19,4,3,1,2
17,18,31,22,4,3,1,2
13,11,24,13,2,4,1,2
13,11,28,12,2,4,1,3
13,12,22,13,2,4,1,2
18,17,28,18,2,4,1,2
15.41,15.38,24.05,14.58,2.77,2.78,1.15,3
