Player 1,Player 2,Player 3,Player 4,,,,
11,19,9,16,3,1,4,2
16,31,12,20,3,1,4,2
13,24,20,11,3,1,2,4
11,12,10,12,3,1,4,1
21,31,17,11,2,1,3,4
14,11,11,10,1,2,2,4
13,21,20,13,3,1,2,3
20,31,11,25,3,1,4,2
16,18,7,9,2,1,4,3
11,13,11,11,2,1,2,2
15,28,6,12,2,1,4,3
20,18,21,13,2,3,1,4
13,27,10,19,3,1,4,2
26,28,15,23,2,1,4,3
19,26,7,7,2,1,3,3
12,24,18,12,3,1,2,3
17,13,10,13,1,2,4,2
16,21,10,8,2,1,3,4
18,23,15,17,2,1,4,3
16,31,15,14,2,1,3,4
9,31,19,15,4,1,2,3
19,20,12,19,2,1,4,2
18,17,16,15,1,2,3,4
9,17,18,15,4,2,1,3
18,19,13,18,2,1,4,2
23,18,18,15,1,2,2,4
11,12,14,11,3,2,1,3
18,18,11,10,1,1,3,4
12,21,16,17,4,1,3,2
20,19,12,12,1,2,3,3
10,23,9,10,2,1,4,2
11,28,7,10,2,1,4,3
14,19,13,12,2,1,3,4
14,22,10,12,2,1,4,3
19,22,13,15,2,1,4,3
16,17,17,12,3,1,1,4
18,30,12,19,3,1,4,2
17,30,14,17,2,1,4,2
17,17,13,12,1,1,3,4
12,14,13,16,4,2,3,1
20,17,11,15,1,2,4,3
13,17,13,11,2,1,2,4
10,26,7,20,3,1,4,2
8,31,9,2,3,1,2,4
19,22,17,21,3,1,4,2
10,10,7,8,1,1,4,3
7,16,11,7,3,1,2,3
11,20,20,15,4,1,1,3
18,28,13,16,2,1,4,3
19,24,11,16,2,1,4,3
16,31,24,19,4,1,2,3
10,24,17,13,4,1,2,3
15,18,15,15,2,1,2,2
15,23,9,9,2,1,3,3
17,17,14,8,1,1,3,4
10,25,7,18,3,1,4,2
19,31,9,13,2,1,4,3
17,25,17,9,2,1,2,4
9,27,9,20,3,1,3,2
20,27,11,14,2,1,4,3
18,28,22,14,3,1,2,4
24,25,14,18,2,1,4,3
22,28,26,17,3,1,2,4
19,22,13,14,2,1,4,3
19,32,9,21,3,1,4,2
20,19,12,12,1,2,3,3
10,18,8,6,2,1,3,4
21,25,20,18,2,1,3,4
15,32,14,13,2,1,3,4
21,25,12,17,2,1,4,3
16,27,11,17,3,1,4,2
17,21,14,15,2,1,4,3
15,25,13,18,3,1,4,2
15,25,13,17,3,1,4,2
11,20,12,16,4,1,3,2
20,22,15,17,2,1,4,3
17,22,21,10,3,1,2,4
14,26,8,18,3,1,4,2
16,30,22,14,3,1,2,4
10,22,10,22,3,1,3,1
13,19,15,16,4,1,3,2
17,29,13,10,2,1,3,4
8,28,7,19,3,1,4,2
15,26,20,18,4,1,2,3
19,25,8,13,2,1,4,3
12,24,21,24,4,1,3,1
12,29,20,9,3,1,2,4
16,21,14,15,2,1,4,3
13,26,10,13,2,1,4,2
11,20,14,10,3,1,2,4
21,24,19,18,2,1,3,4
18,23,15,16,2,1,4,3
12,15,12,12,2,1,2,2
7,31,17,13,4,1,2,3
12,17,15,15,4,1,2,2
11,27,11,8,2,1,2,4
25,22,12,16,1,2,4,3
14,32,18,7,3,1,2,4
13,16,16,18,4,2,2,1
17,21,12,18,3,1,4,2
15.32,22.92,13.54,14.29,2.48,1.14,3.07,2.9
