Player 1,Player 2,Player 3,Player 4,,,,
27,27,27,61,2,2,2,1
40,25,28,51,2,4,3,1
27,29,30,33,4,3,2,1
34,33,39,26,2,3,1,4
40,43,24,46,3,2,4,1
25,26,25,26,3,1,3,1
26,30,36,38,4,3,2,1
36,43,39,42,4,1,3,2
24,45,33,38,4,1,3,2
32,24,31,38,2,4,3,1
28,17,31,27,2,4,1,3
47,37,35,54,2,3,4,1
26,29,34,34,4,3,1,1
41,30,40,27,1,3,2,4
24,28,31,27,4,2,1,3
27,45,27,48,3,2,3,1
30,28,23,26,1,2,4,3
40,43,39,45,3,2,4,1
30,23,22,30,1,3,4,1
38,26,35,37,1,4,3,2
40,39,32,41,2,3,4,1
27,33,25,34,3,2,4,1
30,27,27,29,1,3,3,2
34,26,27,31,1,4,3,2
27,23,26,28,2,4,3,1
26,30,22,26,2,1,4,2
32,32,36,47,3,3,2,1
39,23,50,47,3,4,1,2
20,24,31,24,4,2,1,2
39,42,38,32,2,1,3,4
28,32,43,32,4,2,1,2
26,27,38,31,4,3,1,2
40,43,36,48,3,2,4,1
46,40,34,48,2,3,4,1
45,44,35,39,1,2,4,3
25,33,27,74,4,2,3,1
50,37,39,46,1,4,3,2
29,43,29,29,2,1,2,2
33,47,43,45,4,1,3,2
26,24,24,22,1,2,2,4
21,28,19,22,3,1,4,2
23,27,34,35,4,3,2,1
37,29,35,36,1,4,3,2
30,30,29,33,2,2,4,1
33,41,35,46,4,2,3,1
39,40,42,44,4,3,2,1
42,32,40,45,2,4,3,1
30,30,31,28,2,2,1,4
32,31,30,35,2,3,4,1
35,31,26,40,2,3,4,1
32.52,32.38,32.24,37.42,2.54,2.56,2.76,1.76
