Player 1,Player 2,Player 3,Player 4,,,,
41,45,38,39,2,1,4,3
28,48,34,54,4,2,3,1
51,41,34,40,1,2,4,3
28,29,34,35,4,3,2,1
40,33,32,33,1,2,4,2
28,31,29,31,4,1,3,1
23,26,27,29,4,3,2,1
32,31,49,54,3,4,2,1
36,43,32,34,2,1,4,3
27,28,35,36,4,3,2,1
30,27,30,34,2,4,2,1
32,44,50,43,4,2,1,3
32,39,34,44,4,2,3,1
31,37,28,37,3,1,4,1
37,41,36,43,3,2,4,1
18,20,20,20,4,1,1,1
23,14,23,29,2,4,2,1
26,23,27,27,3,4,1,1
32,32,30,41,2,2,4,1
45,49,40,37,2,1,3,4
21,23,20,19,2,1,3,4
50,42,29,47,1,3,4,2
25,26,34,58,4,3,2,1
26,32,27,35,4,2,3,1
26,21,21,23,1,3,3,2
30,26,25,27,1,3,4,2
20,23,22,32,4,2,3,1
39,47,46,43,4,1,2,3
26,28,33,35,4,3,2,1
38,43,32,48,3,2,4,1
26,27,23,29,3,2,4,1
18,19,18,19,3,1,3,1
20,21,17,20,2,1,4,2
38,40,29,32,2,1,4,3
31,29,31,32,2,4,2,1
25,29,23,26,3,1,4,2
40,28,37,34,1,4,2,3
29,36,30,36,4,1,3,1
28,35,33,35,4,1,3,1
25,28,25,30,3,2,3,1
22,25,18,27,3,2,4,1
20,14,19,16,1,4,2,3
36,41,26,31,2,1,4,3
56,29,28,52,1,3,4,2
38,39,33,41,3,2,4,1
26,34,28,33,4,1,3,2
31,26,27,26,1,3,2,3
36,43,47,53,4,3,2,1
28,28,27,30,2,2,4,1
26,35,29,30,4,1,3,2
41,27,32,25,1,3,2,4
37,30,35,38,2,4,3,1
28,30,13,35,3,2,4,1
26,37,41,34,4,2,1,3
27,44,30,34,4,1,3,2
17,17,16,18,2,2,4,1
18,22,20,22,4,1,3,1
46,44,46,36,1,3,1,4
23,22,19,23,1,3,4,1
17,12,25,23,3,4,1,2
36,28,29,36,1,4,3,1
26,28,29,34,4,3,2,1
27,20,27,30,2,4,2,1
34,52,45,50,4,1,3,2
24,22,30,31,3,4,2,1
29,39,35,25,3,1,2,4
35,36,41,45,4,3,2,1
35,40,43,34,3,2,1,4
25,23,22,31,2,3,4,1
32,24,23,27,1,3,4,2
24,26,14,23,2,1,4,3
29,26,32,68,3,4,2,1
25,33,36,40,4,3,2,1
35,34,29,35,1,3,4,1
28,31,35,42,4,3,2,1
34,46,34,29,2,1,2,4
28,28,35,55,3,3,2,1
51,32,42,47,1,4,3,2
35,34,34,43,2,3,3,1
31,25,29,50,2,4,3,1
35,38,31,35,2,1,4,2
29,28,29,38,2,4,2,1
38,43,33,46,3,2,4,1
33,33,29,43,2,2,4,1
31,31,55,55,3,3,1,1
30,24,28,31,2,4,3,1
29,38,47,38,4,2,1,2
33,24,19,71,2,3,4,1
19,25,21,24,4,1,3,2
29,26,41,46,3,4,2,1
21,26,28,23,4,2,1,3
25,28,32,46,4,3,2,1
51,37,34,59,2,3,4,1
44,25,24,55,2,3,4,1
25,32,26,65,4,2,3,1
22,28,31,42,4,3,2,1
17,15,17,23,2,4,2,1
32,37,26,36,3,1,4,2
17,20,22,21,4,3,1,2
21,27,25,38,4,2,3,1
30.24,30.95,30.18,36.37,2.74,2.42,2.81,1.66
